date,energy_system,price_base,price_peak,price_offpeak,price_min,price_max,price_average
2025-01-29,ОЕС України (синхронізована з ENTSO-E),5868.840833333334,6452.348333333333,5285.333333333334,2428,9000,6086.892676876589
2025-01-30,ОЕС України (синхронізована з ENTSO-E),6040.950833333334,6516.401666666667,5565.5,2650,8980,6209.54920191668
2025-01-31,ОЕС України (синхронізована з ENTSO-E),5909.745416666667,6603.490833333333,5216,2428,8700,6073.038185768102
2025-02-01,ОЕС України (синхронізована з ENTSO-E),5071.208333333334,5759.583333333333,4382.833333333334,2200,8600,5258.777565920162
2025-02-02,ОЕС України (синхронізована з ENTSO-E),5135.627500000001,5356.838333333333,4914.416666666666,2390,8922.06,5338.442811917228
2025-02-03,ОЕС України (синхронізована з ENTSO-E),6288.892500000001,6774.395,5803.39,3798,9000,6427.35331116837
2025-02-04,ОЕС України (синхронізована з ENTSO-E),5591.247083333334,6753.5775,4428.916666666666,698,9000,5917.100893728704
2025-02-05,ОЕС України (синхронізована з ENTSO-E),5723.604583333334,6633.209166666667,4814,2000,8920,5964.572923527808
2025-02-06,ОЕС України (синхронізована з ENTSO-E),5528.149583333334,6257.355833333333,4798.943333333334,2400,8700,5680.086609165795
2025-02-07,ОЕС України (синхронізована з ENTSO-E),5665.24625,6444.135833333334,4886.356666666667,2480,8600,5835.343174211084
2025-02-08,ОЕС України (синхронізована з ENTSO-E),5177.500833333334,5762.833333333333,4592.168333333333,2520,8700,5334.234364258654
2025-02-09,ОЕС України (синхронізована з ENTSO-E),5142.195833333334,4943.7675,5340.624166666666,2350,8990.21,5284.112996354963
2025-02-10,ОЕС України (синхронізована з ENTSO-E),5810.42625,6133.25,5487.6025,2480,9000,5963.093134501143
2025-02-11,ОЕС України (синхронізована з ENTSO-E),6053.696666666667,6387.6025,5719.790833333333,3000,9000,6182.307728346615
2025-02-12,ОЕС України (синхронізована з ENTSO-E),5915.1075,5930.916666666667,5899.298333333333,2998,9000,6014.096496536009
2025-02-13,ОЕС України (синхронізована з ENTSO-E),5759.55875,5553.5,5965.6175,2700,9000,5869.602054939135
2025-02-14,ОЕС України (синхронізована з ENTSO-E),6107.149166666667,6673.715,5540.583333333334,3100,9000,6281.157755410713
2025-02-15,ОЕС України (синхронізована з ENTSO-E),6029.769166666667,6463.810833333333,5595.7275,3858,9000,6189.275197589651
2025-02-16,ОЕС України (синхронізована з ENTSO-E),5538.041666666666,5284.833333333333,5791.25,2990,9000,5653.800251876588
