"","date","load_type","country","price","price_difference"
"465","2019-09-26","позапік","Румунія",52.86,17.6
"466","2019-09-27","база","Україна",61.83,NA
"467","2019-09-27","база","Польща",282.61,357.08
"468","2019-09-27","база","Словаччина",52.27,-15.46
"469","2019-09-27","база","Угорщина",60.25,-2.56
"470","2019-09-27","база","Румунія",60.25,-2.56
"471","2019-09-27","пік","Україна",77.32,NA
"472","2019-09-27","пік","Польща",304.09,293.29
"473","2019-09-27","пік","Словаччина",61.99,-19.83
"474","2019-09-27","пік","Угорщина",67.56,-12.62
"475","2019-09-27","пік","Румунія",67.56,-12.62
"476","2019-09-27","позапік","Україна",46.34,NA
"477","2019-09-27","позапік","Польща",261.14,463.53
"478","2019-09-27","позапік","Словаччина",42.56,-8.16
"479","2019-09-27","позапік","Угорщина",52.95,14.26
"480","2019-09-27","позапік","Румунія",52.95,14.26
"481","2019-09-28","база","Україна",61.98,NA
"482","2019-09-28","база","Польща",248.81,301.44
"483","2019-09-28","база","Словаччина",48.46,-21.81
"484","2019-09-28","база","Угорщина",56.97,-8.08
"485","2019-09-28","база","Румунія",56.81,-8.34
"486","2019-09-28","пік","Україна",77.42,NA
"487","2019-09-28","пік","Польща",255.21,229.64
"488","2019-09-28","пік","Словаччина",61.38,-20.72
"489","2019-09-28","пік","Угорщина",61.49,-20.58
"490","2019-09-28","пік","Румунія",61.49,-20.58
"491","2019-09-28","позапік","Україна",46.55,NA
"492","2019-09-28","позапік","Польща",242.41,420.75
"493","2019-09-28","позапік","Словаччина",35.54,-23.65
"494","2019-09-28","позапік","Угорщина",52.46,12.7
"495","2019-09-28","позапік","Румунія",52.13,11.99
"496","2019-09-29","база","Україна",61,NA
"497","2019-09-29","база","Польща",209.88,244.07
"498","2019-09-29","база","Словаччина",29.73,-51.26
"499","2019-09-29","база","Угорщина",45.08,-26.1
"500","2019-09-29","база","Румунія",45.08,-26.1
"501","2019-09-29","пік","Україна",75.9,NA
"502","2019-09-29","пік","Польща",215.61,184.07
"503","2019-09-29","пік","Словаччина",33.4,-55.99
"504","2019-09-29","пік","Угорщина",53.57,-29.42
"505","2019-09-29","пік","Румунія",53.57,-29.42
"506","2019-09-29","позапік","Україна",46.09,NA
"507","2019-09-29","позапік","Польща",204.15,342.94
"508","2019-09-29","позапік","Словаччина",26.05,-43.48
"509","2019-09-29","позапік","Угорщина",36.59,-20.61
"510","2019-09-29","позапік","Румунія",36.59,-20.61
"511","2019-09-30","база","Україна",61.69,NA
"512","2019-09-30","база","Польща",229.95,272.75
"513","2019-09-30","база","Словаччина",45.96,-25.5
"514","2019-09-30","база","Угорщина",53.68,-12.98
"515","2019-09-30","база","Румунія",54.49,-11.67
"516","2019-09-30","пік","Україна",77.27,NA
"517","2019-09-30","пік","Польща",245.9,218.23
"518","2019-09-30","пік","Словаччина",57.52,-25.56
"519","2019-09-30","пік","Угорщина",64.96,-15.93
"520","2019-09-30","пік","Румунія",64.96,-15.93
"521","2019-09-30","позапік","Україна",46.11,NA
"522","2019-09-30","позапік","Польща",214.01,364.13
"523","2019-09-30","позапік","Словаччина",34.4,-25.4
"524","2019-09-30","позапік","Угорщина",42.4,-8.05
"525","2019-09-30","позапік","Румунія",44.03,-4.51
"526","2019-10-01","база","Україна",61.4,NA
"527","2019-10-01","база","Польща",228,271.34
"528","2019-10-01","база","Словаччина",55.17,-10.15
"529","2019-10-01","база","Угорщина",70.32,14.53
"530","2019-10-01","база","Румунія",69.74,13.58
"531","2019-10-01","пік","Україна",76.93,NA
